# command:    ssu-cmsearch --hmm-cW 1.5 --no-null3 --noalign -T -1 --tab cydrasil-3-ssu-align/cydrasil-3-ssu-align.1/cydrasil-3-ssu-align.1.tab --viterbi /usr/local/share/ssu-align-0.1.1/ssu-align-0p1.cm cydrasil-3-ssu-align/cydrasil-v3-sequence-list.fasta.1
# date:       Fri May 28 22:04:58 2021
# num seqs:   218
# dbsize(Mb): 0.627724
#
# Pre-search info for CM 1: archaea
#
# rnd  mod  alg  cfg   beta  bit sc cut
# ---  ---  ---  ---  -----  ----------
#   1  hmm  vit  loc      -       -1.00
#
# CM: archaea
#                                                                                                                      target coord   query coord                         
#                                                                                                            ----------------------  ------------                         
# model name  target name                                                                                         start        stop  start   stop    bit sc   E-value  GC%
# ----------  ---------------------------------------------------------------------------------------------  ----------  ----------  -----  -----  --------  --------  ---
  archaea     CY-NCBI-KM995822.1#g__Acaryochloris.s__sp.str__MPGRS1                                                1246        1238      1   1508      1.76         -   44
  archaea     CY-NCBI-AB685763.1#g__Aerosakkonema.s__funiforme.str__Lao35                                             9        1256      1   1508    629.14         -   55
  archaea     CY-NCBI-KF246494.2#g__Alkalinema.s__pantanalense.str__CENA528                                          14        1459      1   1508    722.59         -   55
  archaea     CY-NCBI-KF246494.2#g__Alkalinema.s__pantanalense.str__CENA528                                         204         190      1   1508      0.86         -   40
  archaea     CY-NCBI-KF246495.2#g__Alkalinema.s__pantanalense.str__CENA529                                          14        1459      1   1508    736.06         -   55
  archaea     CY-NCBI-KF246495.2#g__Alkalinema.s__pantanalense.str__CENA529                                         204         190      1   1508      0.86         -   40
  archaea     CY-NCBI-KF246496.2#g__Alkalinema.s__pantanalense.str__CENA530                                          14        1459      1   1508    728.85         -   55
  archaea     CY-NCBI-KF246496.2#g__Alkalinema.s__pantanalense.str__CENA530                                         204         190      1   1508      0.86         -   40
  archaea     CY-NCBI-FM177473.1#g__Sphaerospermopsis.s__aphanizomenoides.str__1LT27S09                              14        1458      1   1508    705.54         -   53
  archaea     CY-NCBI-FM177473.1#g__Sphaerospermopsis.s__aphanizomenoides.str__1LT27S09                            1259        1251      1   1508      1.76         -   44
  archaea     CY-NCBI-FJ830569.1#g__Sphaerospermopsis.s__aphanizomenoides.str__CENA188                               14        1331      1   1508    643.63         -   53
  archaea     CY-NCBI-FJ830569.1#g__Sphaerospermopsis.s__aphanizomenoides.str__CENA188                             1259        1251      1   1508      1.76         -   44
  archaea     CY-IMG-2504130747#g__Anabaena.s__cylindrica.str__PCC7122                                                3        1477      1   1508    681.47         -   54
  archaea     CY-IMG-2504130747#g__Anabaena.s__cylindrica.str__PCC7122                                             1281        1273      1   1508      1.76         -   44
  archaea     CY-IMG-2504131113#g__Anabaena.s__cylindrica.str__PCC7122                                                3        1477      1   1508    681.64         -   53
  archaea     CY-IMG-2504131113#g__Anabaena.s__cylindrica.str__PCC7122                                             1281        1273      1   1508      1.76         -   44
  archaea     CY-IMG-2504133202#g__Anabaena.s__cylindrica.str__PCC7122                                                3        1477      1   1508    676.16         -   54
  archaea     CY-IMG-2504133202#g__Anabaena.s__cylindrica.str__PCC7122                                             1281        1273      1   1508      1.76         -   44
  archaea     CY-IMG-2504135017#g__Anabaena.s__cylindrica.str__PCC7122                                                3        1476      1   1508    672.93         -   54
  archaea     CY-IMG-2504135017#g__Anabaena.s__cylindrica.str__PCC7122                                             1280        1272      1   1508      1.76         -   44
  archaea     CY-IMG-2805021235#g__Anabaena.s__cylindrica.str__PCC7122-NIES-19                                       12        1489      1   1508    694.85         -   54
  archaea     CY-IMG-2805021235#g__Anabaena.s__cylindrica.str__PCC7122-NIES-19                                     1290        1282      1   1508      1.76         -   44
  archaea     CY-IMG-2805021615#g__Anabaena.s__cylindrica.str__PCC7122-NIES-19                                       12        1489      1   1508    695.02         -   54
  archaea     CY-IMG-2805021615#g__Anabaena.s__cylindrica.str__PCC7122-NIES-19                                     1290        1282      1   1508      1.76         -   44
  archaea     CY-IMG-2805023662#g__Anabaena.s__cylindrica.str__PCC7122-NIES-19                                       12        1489      1   1508    696.74         -   54
  archaea     CY-IMG-2805023662#g__Anabaena.s__cylindrica.str__PCC7122-NIES-19                                     1290        1282      1   1508      1.76         -   44
  archaea     CY-NCBI-HM573455.1#g__Trichormus.s__doliolum.str__Ind1                                                 28        1336      1   1508    599.59         -   54
  archaea     CY-NCBI-HM573455.1#g__Trichormus.s__doliolum.str__Ind1                                               1264        1256      1   1508      1.76         -   44
  archaea     CY-IMG-2677278310#g__Anabaena.s__sp.str__4-3                                                           10        1413      1   1508    688.50         -   55
  archaea     CY-IMG-2562228440#g__Anabaena.s__sp.str__90                                                            10        1487      1   1508    708.85         -   53
  archaea     CY-IMG-2562228440#g__Anabaena.s__sp.str__90                                                          1288        1280      1   1508      1.76         -   44
  archaea     CY-IMG-2562229100#g__Anabaena.s__sp.str__90                                                            10        1487      1   1508    711.50         -   54
  archaea     CY-IMG-2562229100#g__Anabaena.s__sp.str__90                                                          1288        1280      1   1508      1.76         -   44
  archaea     CY-IMG-2562231383#g__Anabaena.s__sp.str__90                                                            10        1487      1   1508    710.37         -   54
  archaea     CY-IMG-2562231383#g__Anabaena.s__sp.str__90                                                          1288        1280      1   1508      1.76         -   44
  archaea     CY-IMG-2725876318#g__Anabaena.s__sp.str__CA-ATCC33047                                                  11        1488      1   1508    706.09         -   54
  archaea     CY-IMG-2506492397#g__Anabaena.s__sp.str__PCC7108                                                        3        1477      1   1508    702.29         -   54
  archaea     CY-IMG-2506492397#g__Anabaena.s__sp.str__PCC7108                                                     1281        1273      1   1508      1.76         -   44
  archaea     CY-IMG-2506494249#g__Anabaena.s__sp.str__PCC7108                                                        3        1477      1   1508    696.18         -   54
  archaea     CY-IMG-2506494249#g__Anabaena.s__sp.str__PCC7108                                                     1281        1273      1   1508      1.76         -   44
  archaea     CY-IMG-2652614013#g__Anabaena.s__sp.str__WA102                                                         12        1487      1   1508    717.83         -   54
  archaea     CY-IMG-2652614013#g__Anabaena.s__sp.str__WA102                                                       1288        1280      1   1508      1.76         -   44
  archaea     CY-IMG-2652616477#g__Anabaena.s__sp.str__WA102                                                         12        1487      1   1508    717.83         -   54
  archaea     CY-IMG-2652616477#g__Anabaena.s__sp.str__WA102                                                       1288        1280      1   1508      1.76         -   44
  archaea     CY-NCBI-KM019920.1#g__Wollea.s__ambigua.str__SAG1403-7                                                 14        1460      1   1508    686.10         -   53
  archaea     CY-NCBI-KM019920.1#g__Wollea.s__ambigua.str__SAG1403-7                                               1261        1253      1   1508      1.76         -   44
  archaea     CY-NCBI-JN873351.1#g__Wollea.s__vaginicola.str__ISC90                                                   4        1311      1   1508    571.70         -   53
  archaea     CY-NCBI-JN873351.1#g__Wollea.s__vaginicola.str__ISC90                                                1235        1227      1   1508      1.76         -   44
  archaea     CY-IMG-646566302#g__Trichormus.s__variabilis.str__ATCC29413                                             9        1486      1   1508    670.87         -   54
  archaea     CY-IMG-646566302#g__Trichormus.s__variabilis.str__ATCC29413                                          1285        1277      1   1508      1.76         -   44
  archaea     CY-IMG-2775963484#g__Anabaenopsis.s__circularis.str__NIES-21                                           12        1489      1   1508    660.99         -   54
  archaea     CY-IMG-2775963484#g__Anabaenopsis.s__circularis.str__NIES-21                                         1288        1280      1   1508      1.76         -   44
  archaea     CY-IMG-2775968048#g__Anabaenopsis.s__circularis.str__NIES-21                                           12        1489      1   1508    660.99         -   54
  archaea     CY-IMG-2775968048#g__Anabaenopsis.s__circularis.str__NIES-21                                         1288        1280      1   1508      1.76         -   44
  archaea     CY-NCBI-KT819197.1#g__Ancylothrix.s__rivularis.str__8PC                                                 3        1482      1   1508    645.18         -   56
  archaea     CY-NCBI-KT819197.1#g__Ancylothrix.s__rivularis.str__8PC                                              1281        1273      1   1508      1.76         -   44
  archaea     CY-NCBI-KT819199.1#g__Ancylothrix.s__terrestris.str__10PC                                               3        1482      1   1508    676.06         -   55
  archaea     CY-NCBI-KT819199.1#g__Ancylothrix.s__terrestris.str__10PC                                            1281        1273      1   1508      1.76         -   44
  archaea     CY-NCBI-HQ658457.1#g__Annamia.s__toxica.str__HOs24                                                      2        1276      1   1508    611.44         -   53
  archaea     CY-NCBI-HQ658457.1#g__Annamia.s__toxica.str__HOs24                                                   1204        1196      1   1508      1.76         -   44
  archaea     CY-NCBI-FM161350.1#g__Sphaerospermopsis.s__aphanizomenoides.str__04-43                                  2        1403      1   1508    688.40         -   54
  archaea     CY-NCBI-FM161350.1#g__Sphaerospermopsis.s__aphanizomenoides.str__04-43                               1204        1196      1   1508      1.76         -   44
  archaea     CY-IMG-2632405502#g__Aphanizomenon.s__flos-aquae.str__2012-KM1-D3                                      12        1487      1   1508    712.12         -   54
  archaea     CY-IMG-2632405502#g__Aphanizomenon.s__flos-aquae.str__2012-KM1-D3                                    1288        1280      1   1508      1.76         -   44
  archaea     CY-IMG-2586763639#g__Aphanizomenon.s__flos-aquae.str__NIES-81                                          23        1340      1   1508    650.70         -   53
  archaea     CY-IMG-2586763639#g__Aphanizomenon.s__flos-aquae.str__NIES-81                                        1268        1260      1   1508      1.76         -   44
  archaea     CY-NCBI-JQ070058.1#g__Aphanocapsa.s__rivularis.str__UAM390                                             14        1208      1   1508    530.79         -   53
  archaea     CY-NCBI-FR798920.1#g__Aphanocapsa.s__muscicola.str__5N-04                                              14        1460      1   1508    781.47         -   56
  archaea     CY-NCBI-FR798920.1#g__Aphanocapsa.s__muscicola.str__5N-04                                             481         459      1   1508      0.52         -   52
  archaea     CY-NCBI-KP890779.1#g__Aphanocapsa.s__muscicola.str__SERB57                                             14        1459      1   1508    742.70         -   57
  archaea     CY-NCBI-KP890779.1#g__Aphanocapsa.s__muscicola.str__SERB57                                            481         459      1   1508      0.52         -   52
  archaea     CY-NCBI-KM020007.1#g__Aphanocapsa.s__salina.str__SAG33-79                                              27        1456      1   1508    819.85         -   56
  archaea     CY-NCBI-KM020007.1#g__Aphanocapsa.s__salina.str__SAG33-79                                            1256        1248      1   1508      1.76         -   44
  archaea     CY-NCBI-KM350248.1#g__Aphanocapsa.s__sp.str__BDU130052                                                 14        1329      1   1508    696.50         -   54
  archaea     CY-NCBI-KM350248.1#g__Aphanocapsa.s__sp.str__BDU130052                                               1257        1249      1   1508      1.76         -   44
  archaea     CY-NCBI-EU249123.1#g__Aphanocapsa.s__sp.str__HBC6                                                      14        1430      1   1508    726.11         -   54
  archaea     CY-NCBI-EU249123.1#g__Aphanocapsa.s__sp.str__HBC6                                                    1258        1250      1   1508      1.76         -   44
  archaea     CY-NCBI-KF417640.1#g__Aphanothece.s__sacrum.str__SAG2412                                               13        1422      1   1508    699.90         -   55
  archaea     CY-NCBI-KF417640.1#g__Aphanothece.s__sacrum.str__SAG2412                                             1223        1215      1   1508      1.76         -   44
  archaea     CY-NCBI-KF417640.1#g__Anathece.s__clathrata.str__SAG23-99                                              27        1457      1   1508    783.03         -   56
  archaea     CY-NCBI-KF417640.1#g__Anathece.s__clathrata.str__SAG23-99                                            1256        1248      1   1508      1.76         -   44
  archaea     CY-NCBI-KM019993.1#g__Aphanothece.s__hegewaldii.str__SAG253-80                                         27        1463      1   1508    695.46         -   54
  archaea     CY-NCBI-KM019993.1#g__Aphanothece.s__hegewaldii.str__SAG253-80                                       1262        1254      1   1508      1.76         -   44
  archaea     CY-NCBI-FM177488.1#g__Aphanothece.s__minutissima.str__2LT34S03                                         27        1456      1   1508    801.39         -   56
  archaea     CY-NCBI-FM177488.1#g__Aphanothece.s__minutissima.str__2LT34S03                                       1256        1248      1   1508      1.76         -   44
  archaea     CY-NCBI-NC_000932.1#g__Arabidopsis.s__thaliana.str__chloroplast                                        55        1489      1   1508    719.93         -   57
  archaea     CY-NCBI-NC_000932.1#g__Arabidopsis.s__thaliana.str__chloroplast                                       188         180      1   1508      1.76         -   44
  archaea     CY-NCBI-KM019974.1#g__Arthronema.s__africanum.str__SAG12-89                                            14        1460      1   1508    766.80         -   55
  archaea     CY-NCBI-KM019974.1#g__Arthronema.s__africanum.str__SAG12-89                                           160         145      1   1508      0.25         -   38
  archaea     CY-NCBI-AF218370.1#g__Arthronema.s__gygaxiana.str__UTCC393                                              5        1306      1   1508    696.74         -   53
  archaea     CY-NCBI-AF218370.1#g__Arthronema.s__gygaxiana.str__UTCC393                                            570         562      1   1508      1.76         -   44
  archaea     CY-NCBI-GQ184185.1#g__Arthrospira.s__jenneri.str__EB9604                                               36        1271      1   1508    664.21         -   55
  archaea     CY-NCBI-GQ184185.1#g__Arthrospira.s__jenneri.str__EB9604                                             1199        1191      1   1508      1.76         -   44
  archaea     CY-NCBI-GQ206141.1#g__Limnospira.s__maxima.str__BJ2000                                                 10        1271      1   1508    650.21         -   55
  archaea     CY-NCBI-GQ206141.1#g__Limnospira.s__maxima.str__BJ2000                                               1199        1191      1   1508      1.76         -   44
  archaea     CY-IMG-643170170#g__Limnospira.s__maxima.str__CS-328                                                    3        1480      1   1508    764.13         -   56
  archaea     CY-IMG-643170170#g__Limnospira.s__maxima.str__CS-328                                                 1279        1271      1   1508      1.76         -   44
  archaea     CY-NCBI-KC217543.1#g__Limnospira.s__maxima.str__CY-023                                                  5        1224      1   1508    653.76         -   55
  archaea     CY-NCBI-KC217543.1#g__Limnospira.s__maxima.str__CY-023                                               1152        1144      1   1508      1.76         -   44
  archaea     CY-NCBI-EF564663.1#g__Limnospira.s__maxima.str__FACHB-438                                              37        1453      1   1508    701.09         -   56
  archaea     CY-NCBI-EF564663.1#g__Limnospira.s__maxima.str__FACHB-438                                            1282        1274      1   1508      1.76         -   44
  archaea     CY-NCBI-DQ393281.1#g__Limnospira.s__maxima.str__KCTC-AG30054                                            3        1453      1   1508    726.67         -   56
  archaea     CY-NCBI-DQ393281.1#g__Limnospira.s__maxima.str__KCTC-AG30054                                         1279        1271      1   1508      1.76         -   44
  archaea     CY-NCBI-KF840789.1#g__Arthrospira.s__platensis.str__540                                                27        1325      1   1508    685.76         -   56
  archaea     CY-NCBI-KF840789.1#g__Arthrospira.s__platensis.str__540                                              1253        1245      1   1508      1.76         -   44
  archaea     CY-IMG-2507447852#g__Arthrospira.s__platensis.str__C1                                                   3        1477      1   1508    750.76         -   56
  archaea     CY-IMG-2507447852#g__Arthrospira.s__platensis.str__C1                                                1279        1271      1   1508      1.76         -   44
  archaea     CY-NCBI-KC195870.1#g__Arthrospira.s__platensis.str__CBN3                                                3        1436      1   1508    748.49         -   56
  archaea     CY-NCBI-KC195870.1#g__Arthrospira.s__platensis.str__CBN3                                             1235        1227      1   1508      1.76         -   44
  archaea     CY-NCBI-EF222475.1#g__Arthrospira.s__platensis.str__CG590                                               2        1479      1   1508    751.21         -   56
  archaea     CY-NCBI-EF222475.1#g__Arthrospira.s__platensis.str__CG590                                            1278        1270      1   1508      1.76         -   44
  archaea     CY-NCBI-KJ463625.1#g__Arthrospira.s__platensis.str__CHM                                                 3        1480      1   1508    767.86         -   56
  archaea     CY-NCBI-KJ463625.1#g__Arthrospira.s__platensis.str__CHM                                              1279        1271      1   1508      1.76         -   44
  archaea     CY-NCBI-HQ008227.1#g__Arthrospira.s__platensis.str__EEW4                                               10        1314      1   1508    695.20         -   56
  archaea     CY-NCBI-HQ008227.1#g__Arthrospira.s__platensis.str__EEW4                                             1242        1234      1   1508      1.76         -   44
  archaea     CY-NCBI-KC195865.1#g__Arthrospira.s__platensis.str__F3S                                                14        1460      1   1508    749.33         -   56
  archaea     CY-NCBI-KC195865.1#g__Arthrospira.s__platensis.str__F3S                                              1259        1251      1   1508      1.76         -   44
  archaea     CY-IMG-646129542#g__Arthrospira.s__platensis.str__Paraca                                                8        1485      1   1508    758.60         -   56
  archaea     CY-IMG-646129542#g__Arthrospira.s__platensis.str__Paraca                                             1284        1276      1   1508      1.76         -   44
  archaea     CY-NCBI-DQ393280.1#g__Limnospira.s__fusiformis.str__SAG85-79                                            3        1453      1   1508    720.76         -   55
  archaea     CY-NCBI-DQ393280.1#g__Limnospira.s__fusiformis.str__SAG85-79                                         1279        1271      1   1508      1.76         -   44
  archaea     CY-IMG-2687782036#g__Arthrospira.s__platensis.str__YZ                                                  12        1489      1   1508    758.60         -   56
  archaea     CY-IMG-2687782036#g__Arthrospira.s__platensis.str__YZ                                                1288        1280      1   1508      1.76         -   44
  archaea     CY-IMG-2753109263#g__Limnospira.s__indica.str__PCC8005                                                 11        1488      1   1508    764.13         -   56
  archaea     CY-IMG-2753109263#g__Limnospira.s__indica.str__PCC8005                                               1287        1279      1   1508      1.76         -   44
  archaea     CY-IMG-2775927286#g__Aulosira.s__laxa.str__NIES-50                                                     12        1489      1   1508    697.30         -   55
  archaea     CY-IMG-2775927286#g__Aulosira.s__laxa.str__NIES-50                                                   1288        1280      1   1508      1.76         -   44
  archaea     CY-IMG-2775927731#g__Aulosira.s__laxa.str__NIES-50                                                     12        1489      1   1508    697.30         -   55
  archaea     CY-IMG-2775927731#g__Aulosira.s__laxa.str__NIES-50                                                   1288        1280      1   1508      1.76         -   44
  archaea     CY-NCBI-MT664818.1#g__Crassifilum.s__sp.str__BN27                                                       3        1451      1   1508    660.87         -   56
  archaea     CY-NCBI-MT664818.1#g__Crassifilum.s__sp.str__BN27                                                    1283        1275      1   1508      1.76         -   44
  archaea     CY-NCBI-HQ847567.1#g__Brasilonema.s__angustatum.str__HA4187-MV1                                        31        1479      1   1508    693.82         -   55
  archaea     CY-NCBI-HQ847567.1#g__Brasilonema.s__angustatum.str__HA4187-MV1                                      1278        1270      1   1508      1.76         -   44
  archaea     CY-NCBI-HQ847562.1#g__Brasilonema.s__octagenarum.str__HA4186-MV1                                       31        1479      1   1508    676.31         -   54
  archaea     CY-NCBI-HQ847562.1#g__Brasilonema.s__octagenarum.str__HA4186-MV1                                     1278        1270      1   1508      1.76         -   44
  archaea     CY-NCBI-GQ443308.1#g__Brasilonema.s__roberti-lamyi.str__los-manantiales1                                1        1369      1   1508    605.79         -   55
  archaea     CY-NCBI-GQ443308.1#g__Brasilonema.s__roberti-lamyi.str__los-manantiales1                             1195        1187      1   1508      1.76         -   44
  archaea     CY-NCBI-EF117246.1#g__Brasilonema.s__sennae.str__CENA114                                               14        1333      1   1508    609.03         -   55
  archaea     CY-NCBI-EF117246.1#g__Brasilonema.s__sennae.str__CENA114                                             1261        1253      1   1508      1.76         -   44
  archaea     CY-NCBI-KT731163.1#g__Brasilonema.s__sp.str__CENA347                                                   14        1333      1   1508    612.23         -   54
  archaea     CY-NCBI-KT731163.1#g__Brasilonema.s__sp.str__CENA347                                                 1261        1253      1   1508      1.76         -   44
  archaea     CY-NCBI-KR137581.1#g__Brasilonema.s__sp.str__CENA360                                                   14        1332      1   1508    593.10         -   54
  archaea     CY-NCBI-KR137581.1#g__Brasilonema.s__sp.str__CENA360                                                 1260        1252      1   1508      1.76         -   44
  archaea     CY-NCBI-KR137582.1#g__Brasilonema.s__sp.str__CENA361                                                   14        1333      1   1508    588.35         -   54
  archaea     CY-NCBI-KR137582.1#g__Brasilonema.s__sp.str__CENA361                                                 1271        1253      1   1508      0.87         -   47
  archaea     CY-NCBI-KR137587.1#g__Brasilonema.s__sp.str__CENA366                                                   14        1333      1   1508    625.12         -   55
  archaea     CY-NCBI-KR137587.1#g__Brasilonema.s__sp.str__CENA366                                                 1261        1253      1   1508      1.76         -   44
  archaea     CY-NCBI-KR137602.1#g__Brasilonema.s__sp.str__CENA381                                                   14        1333      1   1508    612.12         -   54
  archaea     CY-NCBI-KR137602.1#g__Brasilonema.s__sp.str__CENA381                                                 1261        1253      1   1508      1.76         -   44
  archaea     CY-NCBI-KR137603.1#g__Brasilonema.s__sp.str__CENA382                                                   14        1333      1   1508    610.22         -   54
  archaea     CY-NCBI-KR137603.1#g__Brasilonema.s__sp.str__CENA382                                                 1261        1253      1   1508      1.76         -   44
  archaea     CY-NCBI-KJ636963.1#g__Brasilonema.s__sp.str__NQAIF325                                                   3        1309      1   1508    611.22         -   54
  archaea     CY-NCBI-KJ636963.1#g__Brasilonema.s__sp.str__NQAIF325                                                1237        1229      1   1508      1.76         -   44
  archaea     CY-NCBI-EF490447.1#g__Brasilonema.s__terrestre.str__CENA116                                            14        1333      1   1508    630.67         -   54
  archaea     CY-NCBI-EF490447.1#g__Brasilonema.s__terrestre.str__CENA116                                          1261        1253      1   1508      1.76         -   44
  archaea     CY-NCBI-JN676147.1#g__Brasilonema.s__tolantongensis.str__Tolantongo                                    20        1203      1   1508    587.70         -   54
  archaea     CY-NCBI-JN676147.1#g__Brasilonema.s__tolantongensis.str__Tolantongo                                  1131        1123      1   1508      1.76         -   44
  archaea     CY-NCBI-KM019945.1#g__Calothrix.s__anomala.str__SAG-1410-4                                             14        1460      1   1508    652.31         -   54
  archaea     CY-NCBI-KM019945.1#g__Calothrix.s__anomala.str__SAG-1410-4                                           1395        1376      1   1508     -0.43         -   55
  archaea     CY-NCBI-HM573459.1#g__Calothrix.s__brevissima.str__Ind9                                                28        1329      1   1508    541.85         -   52
  archaea     CY-NCBI-HM573459.1#g__Calothrix.s__brevissima.str__Ind9                                               475         449      1   1508      0.16         -   52
  archaea     CY-NCBI-KT818631.1#g__Calothrix.s__brevissima.str__MBDU-613                                            45        1210      1   1508    556.54         -   54
  archaea     CY-IMG-2776206505#g__Calothrix.s__brevissima.str__NIES-22                                              12        1489      1   1508    662.78         -   54
  archaea     CY-IMG-2776206505#g__Calothrix.s__brevissima.str__NIES-22                                            1424        1405      1   1508     -0.43         -   55
  archaea     CY-IMG-2776208717#g__Calothrix.s__brevissima.str__NIES-22                                              12        1489      1   1508    654.59         -   54
  archaea     CY-IMG-2776208717#g__Calothrix.s__brevissima.str__NIES-22                                            1424        1405      1   1508     -0.43         -   55
  archaea     CY-NCBI-KT740998.1#g__Calothrix.s__contarenii.str__SABC022701                                          21        1316      1   1508    521.42         -   52
  archaea     CY-NCBI-LN997862.1#g__Calothrix.s__desertica.str__KSU-AQIQ-13                                           1        1300      1   1508    593.52         -   52
  archaea     CY-IMG-2510023964#g__Calothrix.s__desertica.str__PCC7102                                               23        1337      1   1508    584.19         -   52
  archaea     CY-IMG-2510025932#g__Calothrix.s__desertica.str__PCC7102                                               23        1337      1   1508    594.58         -   52
  archaea     CY-NCBI-NR_114995.1#g__Calothrix.s__desertica.str__PCC7102                                              1        1400      1   1508    639.37         -   52
  archaea     CY-NCBI-KM982554.1#g__Calothrix.s__desertica.str__SERB-5                                              118        1398      1   1508    526.13         -   57
  archaea     CY-NCBI-KM982554.1#g__Calothrix.s__desertica.str__SERB-5                                             1056        1035      1   1508     -0.40         -   64
  archaea     CY-NCBI-KP096227.1#g__Calothrix.s__dolichomeres.str__MBDU013                                           20        1250      1   1508    581.12         -   54
  archaea     CY-NCBI-KP096227.1#g__Calothrix.s__dolichomeres.str__MBDU013                                         1186        1178      1   1508      1.76         -   44
  archaea     CY-NCBI-KP096228.1#g__Calothrix.s__linearis.str__MBDU005                                                9        1256      1   1508    582.60         -   54
  archaea     CY-NCBI-KP096228.1#g__Calothrix.s__linearis.str__MBDU005                                             1184        1176      1   1508      1.76         -   44
  archaea     CY-NCBI-KM019924.1#g__Calothrix.s__membranacea.str__SAG-1410-1                                         14        1458      1   1508    696.28         -   55
  archaea     CY-NCBI-KM019924.1#g__Calothrix.s__membranacea.str__SAG-1410-1                                       1259        1251      1   1508      1.76         -   44
  archaea     CY-IMG-2776198669#g__Calothrix.s__parasitica.str__NIES-267                                             56        1487      1   1508    689.22         -   53
  archaea     CY-IMG-2790724068#g__Calothrix.s__rhizosoleniae.str__SC01                                              12        1490      1   1508    707.59         -   54
  archaea     CY-IMG-2790724068#g__Calothrix.s__rhizosoleniae.str__SC01                                            1289        1281      1   1508      1.76         -   44
  archaea     CY-NCBI-KM019957.1#g__Calothrix.s__scopulorum.str__SAG-36-79                                           14        1457      1   1508    655.29         -   52
  archaea     CY-NCBI-FR798918.1#g__Calothrix.s__sp.str__2T08                                                        14        1458      1   1508    669.76         -   52
  archaea     CY-IMG-2656460795#g__Calothrix.s__sp.str__336-3                                                        12        1487      1   1508    718.39         -   54
  archaea     CY-IMG-2656460795#g__Calothrix.s__sp.str__336-3                                                      1286        1278      1   1508      1.76         -   44
  archaea     CY-NCBI-KM019977.1#g__Calothrix.s__sp.str__96-26-LPP3                                                  27        1459      1   1508    792.66         -   56
  archaea     CY-NCBI-KM019977.1#g__Calothrix.s__sp.str__96-26-LPP3                                                1258        1250      1   1508      1.76         -   44
  archaea     CY-NCBI-AM230694.1#g__Calothrix.s__sp.str__AHLA9                                                        2        1273      1   1508    585.06         -   53
  archaea     CY-NCBI-AM230694.1#g__Calothrix.s__sp.str__AHLA9                                                     1201        1193      1   1508      1.76         -   44
  archaea     CY-NCBI-AY493597.1#g__Calothrix.s__sp.str__ANT-LPR2-4                                                  27        1458      1   1508    686.74         -   53
  archaea     CY-NCBI-FJ661008.1#g__Calothrix.s__sp.str__Asko-12                                                      5        1450      1   1508    572.43         -   54
  archaea     CY-NCBI-FJ661008.1#g__Calothrix.s__sp.str__Asko-12                                                   1249        1241      1   1508      1.76         -   44
  archaea     CY-NCBI-FJ661006.1#g__Calothrix.s__sp.str__Asko-14                                                     34        1486      1   1508    599.00         -   53
